evolve	 [iˈvɒlv]	vt. 	使发展；使进化；设计，制订出；发出，散发
reasonably	 [ˈri:znəbli]	adv. 	明辨道理地；合理地；有理性地；相当地
findings	 ['faɪndɪŋz]	n. 	发现物( finding的名词复数 )；调查（或研究）的结果；（陪审团的）裁决
pupil	 [ˈpju:pl]	n. 	学生；[解]瞳孔；未成年人；[法]被监护人
telegraph	 [ˈtelɪgrɑ:f]	n. 	电报；电讯；电报机；信号机
		vt.& vi. 	打电报；流露出；电汇；用电报通知
		vt. 	用电报发送；打电报向（某人）发指令；电汇；电购
finance	 [ˈfaɪnæns]	n. 	财政；金融；财源；资金
		vt. 	为…供给资金， 从事金融活动；赊货给…；掌握财政
possession	 [pəˈzeʃn]	n. 	有，所有，拥有；领地；财产，所有权，占有物，所有物；持有违禁物
stretched	 [st'retʃt]	v. 	伸展，拉紧( stretch的过去式和过去分词 )；延伸；拉长；损伤
keys	 ['ki:z]	n. 	（乐曲的）调( key的名词复数 )；钥匙；键；题解
territory	 [ˈterətri]	n. 	领土，版图；领地；领域，范围；[商]势力范围
measurement	 [ˈmeʒəmənt]	n. 	量度；份量，尺寸；测量法；（量得的）尺寸
damn	 [dæm]	adv. 	非常；（表示厌烦）该死；讨厌；十足
		vt. 	诅咒；谴责，指责；使…失败；[永世受罚，定罪
		vi. 	诅咒；咒骂
		n. 	一点也不，丝毫
		adj. 	该死的；（表示厌烦）可恶的
arrest	 [əˈrest]	vt. 	逮捕，拘捕；止住，阻止，抑制；吸引（注意）
		vi. 	心跳停止
		n. 	拘留；停止，阻止；制动（装置）
elected	 [e'lektɪd]	v. 	（进行）选举( elect的过去式和过去分词 )；推举；选择；决定（做某事）
involve	 [ɪnˈvɒlv]	vt. 	包含；使参与，牵涉；围绕，缠绕；使专心于
filed	 [faild]	v. 	提出（离婚诉讼或其他讼案）( file的过去式和过去分词 )；把…归档；用锉锉；（法院或其它行政机关）定案
identical	 [aɪˈdentɪkl]	adj. 	同一的；完全同样的，相同的；恒等的；同卵的
		n. 	完全相同的事物；同卵双胞
mature	 [məˈtʃʊə(r)]	adj. 	（人、树木、鸟或动物）成熟的；仔细考虑过的；到期（应该支付）的；成年人的
		vi. 	成熟，长成；（票据等）到期
		vt. 	使…成熟；使…长成；慎重拟定（计划等）
Williams	 [ˈwɪljəmz]	 	威廉斯棉
succeeded	 [sək'si:dɪd]	v. 	成功( succeed的过去式和过去分词 )；完成；继承；达到目的
rejected		n. 	被弃之物，落选者
		adj. 	拒绝的
		v. 	拒绝( reject的过去式和过去分词 )；（因质量差）不用；排斥；拒收
Thursday	 [ˈθɜ:zdeɪ]	n. 	星期四，礼拜四，周四；[电影]惊爆星期四
