enclose	 [ɪnˈkləʊz]	vt. 	（用墙、篱笆等）把…围起来；把…装入信封；附入
partly	 [ˈpɑ:tli]	adv. 	在一定程度上；部分地；不完全地；半
pastry	 [ˈpeɪstri]	n. 	糕点；油酥糕点；油酥面团；油酥面皮
cupboard	 [ˈkʌbəd]	n. 	柜橱；食物柜，食橱；密室
crime	 [kraɪm]	n. 	罪行，犯罪；罪恶
		v. 	指控犯罪；判定犯罪；处罚军事犯
quart	 [kwɔ:t]	n. 	夸脱（液体或固体的容积单位）
canal	 [kəˈnæl]	n. 	运河，沟渠；管道；气管；食道
		vt. 	建运河；疏导
hoped	 [həʊpt]	v. 	希望，期望( hope的过去式和过去分词 )；[俚语]相信，认为；希望，盼望，期待
phase	 [feɪz]	n. 	相，周相；阶段；[物理学]相位；方面，侧面
		vt. 	分阶段实行；调整相位
		vi. 	分阶段进行
hopes	 [həʊps]	n.& v. 	希望
		n. 	希望( hope的名词复数 )；希望的东西；被寄予希望的人（或事物、情况）；抱有希望的理由
		v. 	希望，期望( hope的第三人称单数 )；[俚语]相信，认为；希望，盼望，期待
notebook	 [ˈnəʊtbʊk]	n. 	笔记簿；笔记本电脑；手册；笔记本
stomach	 [ˈstʌmək]	n. 	胃；腹部；食欲；欲望
		vt. 	容忍；吃…吃得津津有味；〈古〉对…发怒
deceit	 [dɪˈsi:t]	n. 	欺骗，欺诈；诡计；谎言
parcel	 [ˈpɑ:sl]	n. 	包袱，包裹；（土地的）一块；一批，一群；（货物的）一宗
		vt. 	分，区分；把…划成部分后分配；给…打成包裹；把…拼在一起
brighten	 [ˈbraɪtn]	vt.& vi. 	（使）发亮；（使）生色；（使）生辉；（使）快乐
moderation	 [ˌmɒdəˈreɪʃn]	n. 	适度；自我节制；稳定，镇定；（牛津大学）B.A学位的第一次考试
Twelve		 	[电影]十二
factor	 [ˈfæktə(r)]	n. 	因素；因子；代理人
		vt. 	把…因素包括进去；[数学]分解…的因子，将…分解成因子；以代理商（或管家等）的身份行事，做代理商（或管家）
		vi. 	做代理商（或管家）
punctual	 [ˈpʌŋktʃuəl]	adj. 	严守时刻的， 准时的，正点的
hurrah	 [həˈrɑ:]	int. 	好哇；万岁
		n. 	欢呼声；激动；纷争
		vt. 	欢呼；为…喝采
		vi. 	欢呼；叫好
integration	 [ˌɪntɪˈgreɪʃn]	n. 	结合；整合；一体化；（不同肤色、种族、宗教信仰等的人的）混合
sentence	 [ˈsentəns]	n. 	句子；宣判
		vt. 	宣判，判决
constant	 [ˈkɒnstənt]	adj. 	不断的，持续的；永恒的，始终如一的；坚定；忠实的
		n. 	[数]常数，常量；不变的事物；永恒值
lipstick	 [ˈlɪpstɪk]	n. 	口红；唇膏
		vt. 	涂口红于
		vi. 	涂口红
perform	 [pəˈfɔ:m]	vt.& vi. 	执行；履行；表演；扮演
		vt. 	工作；做；进行；完成
		vi. 	运行，表现；（驯兽）玩把戏
tired	 [ˈtaɪəd]	adj. 	疲倦的；困倦的；对…不耐烦的；陈旧的
		v. 	（使）疲劳（ tire的过去式和过去分词）；对（做）某事感到厌倦
uppermost	 [ˈʌpəməʊst]	adj. 	最高的；至上的；最重要的
		adv. 	最高地，最重要地
column	 [ˈkɒləm]	n. 	纵队，列；圆柱；专栏
fatten	 [ˈfætn]	vt. 	喂肥；养肥（牲畜）；使（钱）增多；使（公司）升值
Mantle		 	[人名] [英格兰人姓氏] 曼特尔 Mantell的变体
supper	 [ˈsʌpə(r)]	n. 	晚饭，晚餐；夜点心；晚餐会
Charlie	 ['tʃɑ:lɪ]	 	[男子名] 查利 Charles的昵称
conqueror	 [ˈkɒŋkərə(r)]	n. 	征服者，占领者
hindrance	 [ˈhɪndrəns]	n. 	妨害，障碍；障碍物；起妨碍作用的人
shooting	 [ˈʃu:tɪŋ]	n. 	射击，发出；投篮；摄影；射杀，枪杀
		v. 	shoot的现在分词
cowardice	 [ˈkaʊədɪs]	n. 	懦弱，胆怯
quietly	 ['kwaɪətlɪ]	adv. 	平静地；静止地；轻声地；在暗中
obedient	 [əˈbi:diənt]	adj. 	顺从的，服从的；忠顺的；孝顺的；驯良的
