longer	 [ˈlɒŋgə(r)]	adj. 	比较久的；（距离，长度）长的( long的比较级 )；长时间的；（因忙或不愉快等）似乎比实际时间长的；长音的
ones	 ['wʌnz]	n. 	二进制反码；一个人，任何人，人们( one的名词复数 )；（表示与别的对照）某一例[类]；玩笑，笑话
choice	 [tʃɔɪs]	n. 	选择；选择权；精选品；入选者
		adj. 	上等的，精选的
fiscal	 [ˈfɪskl]	adj. 	（美）财政上的，会计的；国库的
		n. 	财政年度，会计年度；财政部长，（苏格兰等的）检察官，（西班牙及葡萄牙的）检察长；印花税票
term	 [tɜ:m]	n. 	学期；条款；术语；期限
		vt. 	把…称为；把…叫做
watch	 [wɒtʃ]	vt. 	注视，注意；看守，监视；守候（机会等）；密切注意
		n. 	表；值夜，值班；看守，监视；值班人员
		vi. 	观看；注视；守候；看守
scene	 [si:n]	n. 	场面，现场；（戏剧的）一场；景色，风景；事件
activity	 [ækˈtɪvəti]	n. 	活动；活跃，敏捷；活动力；教育活动
product	 [ˈprɒdʌkt]	n. 	产品；结果；乘积；作品
types	 ['taɪps]	n. 	类型；类型( type的名词复数 )；铅字；（印刷或打印的）文字；于…类型的
		v. 	打字；打字( type的第三人称单数 )；[医学]测定（血型）；按类型把…归类；成为…的典型
ball	 [bɔ:l]	n. 	球；棒球（投手投出的）坏球；拇指球；舞会
		vt. 	做成球状，使成团块；（指男性）和（女性）交媾（美式英语）
		vi. 	呈球形，成团块；[美国俚语、口语]狂欢作乐，消遣；尽情作乐，尽情地玩
heat	 [hi:t]	n. 	热，热度，高温；热烈，激烈；（身体的）发烧，发热；发情
		vt.&vi. 	使温暖，使热；激发…的感情，使兴奋
clothe	 [kləʊð]	vt. 	给…提供衣服，把衣服穿（在身上）；覆盖；赋予
		v. 	（用语言）表达；使蒙受（耻辱）；赋与…以（权力，特性等）；穿衣服
lived	 ['lɪvd]	adj. 	有…之生命的
		v. 	活( live的过去式和过去分词 )；居住；以…为生；（按照规矩）管理生活
distance	 [ˈdɪstəns]	n. 	距离，路程；远处；疏远；（时间的）间隔，长久
		vt. 	把…远远甩在后面；疏远；与…保持距离
parent	 [ˈpeərənt]	n. 	父亲（或母亲）；先辈；根源，起源；保护者
letters	 [letəz]	n. 	文学（作品）；信( letter的名词复数 )；函件；字母；（缝制在运动服上的）校运动队字母标志（美式英语）
returned	 [rɪ'tɜ:nd]	adj. 	被送回的，归来的
		v. 	返回，回来( return的过去式和过去分词 )；恢复；还；归还
forward	 [ˈfɔ:wəd]	adv. 	前进地；向前；至将来；提前地
		adj. 	向前方的；迅速的；（社会、政治）进步的；早熟的
		vt. 	促进，助长；（按新地址）转寄；发送
		n. 	前锋
obtained	 [əb'teɪnd]	v. 	获得( obtain的过去式和过去分词 )；买到；（规则、制度、习俗等）存在；流行
offer	 [ˈɒfə(r)]	vt. 	提供，给予；提出，提议；出价，开价；表示愿意
		vi. 	提议；企图，想要；供奉
		n. 	提议；出价，开价；试图；求婚
specific	 [spəˈsɪfɪk]	adj. 	明确的；特种的；具体的；[免疫学]特效的
		n. 	特效药；特性；细节；显著的性质，特性
straight	 [streɪt]	adj. 	直的；连续的；直率的；整齐的
		adv. 	直地；直接地；坦率地；立即
		n. 	直线；直线部分
fix	 [fɪks]	vt. 	固定；准备；修理；使牢固
		vi. 	固着；变硬；安定
		n. 	困境；定位于；受操纵的事；应急措施
division	 [dɪˈvɪʒn]	n. 	分开，分隔；[数]除法；部门；[军]师
slowly	 [ˈsləʊli]	adv. 	缓慢地，慢吞吞地，慢腾腾地；慢条斯理地，不慌不忙地，袅袅；迟钝，痴痴呆呆地；逐步
shot	 [ʃɒt]	n. 	射手，击球；开枪，发射；企图；注射
		adj. 	闪色的，颜色会变化的；交织的；渗透的；（俚语）坏透了的，筋疲力尽的
		vt. 	射中，射击；给…装弹；注射；抛出
		vi. 	发射，射击；突然出现
		v. 	拍摄(shoot的过去式和过去分词)；射杀；开（枪或其他武器）；打猎
poet	 [ˈpəʊɪt]	n. 	诗人；空想家；古典芭蕾舞大师
seven	 [ˈsevn]	num. 	七；七个；第七
		n. 	七；七个
moving	 [ˈmu:vɪŋ]	adj. 	活动的，可移动的；搬家的，搬运的；感人的
		v. 	move的现在分词
mass	 [mæs]	n. 	大量，大多；块，堆，团；[物理学]质量；弥撒曲
		vt.& vi. 	（使）集中，聚集
		adj. 	群众的；大规模的；整个的；集中的
		vi. 	聚集起来
		vt. 	使集合
plane	 [pleɪn]	n. 	水平；平面；飞机；木工刨
		adj. 	平的，平坦的
		vt. 	用刨刨平；小船等擦着水面疾驶
		vi. 	鸟滑翔
proper	 [ˈprɒpə(r)]	adj. 	适当的，相当的，正当的，应该的，正式的，正常的；固有的，特有的，独特的；本来的，真正的，严格意义上的；〈古〉漂亮的，优美的
		adv. 	〈方〉适当地，好好地，非常，很，完完全全地，彻底地
		n. 	[宗教][常用P-]特定节日等用的仪式，弥撒（祈祷、礼仪等）书的章节，特赞
propose	 [prəˈpəʊz]	vt. 	提议，建议；打算，计划；推荐，提名；求婚
		vi. 	做出计划，打算；求婚
drink	 [drɪŋk]	vt.& vi. 	喝（酒）；饮；喝酒；（尤指）酗酒
		vt. 	吸收，吸入
		n. 	酒，饮料；酒宴；一杯或一份酒
obviously	 [ˈɒbviəsli]	adv. 	明显地
plans	 [p'lænz]	n. 	计划( plan的名词复数 )；打算；平面图；示意图
		v. 	计划，打算，设计( plan的第三人称单数 )
whatever	 [wɒtˈevə(r)]	pron. 	无论什么；任何（事物）；诸如此类；（表示不在乎，什么都可接受）什么都可以
		adj. 	无论什么…都；无论怎样…都；任何…也
afternoon	 [ˌɑ:ftəˈnu:n]	n. 	下午；后期，后部
figures	 ['fɪgəs]	n. 	轮廓；人物；身形；雕像；数字( figure的名词复数 )；算术；图解；轮廓
		vt.& vi. 	认定；计算；是重要部份；是…的部份
parts	 [pa:ts]	n. 	部( part的名词复数 )；一部分；零件；角色
approve	 [əˈpru:v]	vt.& vi. 	赞成，同意
		vt. 	批准；认可；核准；为…提供证据
		vi. 	赞同；称许；称赞；满意、喜欢(of)
saying	 [ˈseɪɪŋ]	n. 	话；说话；谚语，格言
		v. 	说(say的ing形式)
born	 [bɔ:n]	vt. 	bear的过去分词；支撑，支持；亲自携带，运输
		vi. 	结果，生产；和…有关
		adj. 	出生的，出身于…的；天生的，天赋的
immediate	 [ɪˈmi:diət]	adj. 	立即的；直接的，最接近的；目前的，当前的；直觉的
fame	 [feɪm]	n. 	名声；名望；传闻；传说
		vt. 	使闻名；使出名；使有名望；盛传
gives		v. 	给予，赠送( give的第三人称单数 )；（与名词连用描述某一动作，意义与该名词相应的动词相同）；供给；交给
extent	 [ɪkˈstent]	n. 	程度；长度；广大地域；扣押
justice	 [ˈdʒʌstɪs]	n. 	正义；公正；法律制裁；审判员，法官
cars		abbr. 	cable relay stations 电缆继电器站
		n. 	汽车( car的名词复数 )；车辆；（火车）车厢；[英国方言]任何有轮的车（如运货马车、农用马车）
mark	 [mɑ:k]	n. 	斑点；记号；成绩；标准
		vt. 	作记号；表示；给…打分；在…留下痕迹
		vi. 	评分；注意；（比赛中）记分
pretty	 [ˈprɪti]	adj. 	漂亮的；机灵的，聪明的
		adv. 	相当，颇
		n. 	漂亮的人（或东西）
opinion	 [əˈpɪnjən]	n. 	意见，主张；评价；鉴定，判定
ahead	 [əˈhed]	adv. 	在（某人或某事物的）前面；向前；预先；在将来，为未来
glass	 [glɑ:s]	n. 	玻璃；玻璃制品；镜子
		vt. 	给某物加玻璃；反映；使平滑如玻璃
		vi. 	成玻璃状
refuse	 [rɪˈfju:z]	v. 	拒绝；回绝；推却
		n. 	废弃物；垃圾
enter	 [ˈentə(r)]	vt.& vi. 	进入；开始；参加；登记
completely	 [kəmˈpli:tli]	adv. 	完全地；完整地；完全，彻底，全部，一干二净；很，非常，充分，十分，万分
send	 [send]	vt. 	送；使作出（某种反应）；派遣；使进入（某状态）
		vt.& vi. 	用无线电波发送，发出信息
		vi. 	派遣，发出，派人
		adj. 	[仅用作定语]用于发送的
desire	 [dɪˈzaɪə(r)]	vt. 	希望；渴望；要求；请求
		n. 	愿望；欲望；希望；请求
		vi. 	有希望；期望；愿望；想望
judge	 [dʒʌdʒ]	vt.& vi. 	审判，评判；断定
		vt. 	估计；评价；（尤指）批评；想，认为
		n. 	法官；裁判员；评判员；鉴定人
none	 [nʌn]	pron. 	没有人，没有一人；没有一个；没有一部分，没有一点
		adv. 	根本不；无法，绝不
waiting	 [ˈweɪtɪŋ]	n. 	等候；（宫廷中的）侍奉；侍女；侍奉期间
		adj. 	等待的；（尤指因迟到）让人等候；服侍的；（用于告诉某人立刻行动）你还在等什么呢
		v. 	等候( wait的现在分词 )；等待；（尤指长期地）希望；盼望
popular	 [ˈpɒpjələ(r)]	adj. 	流行的，大众化的；民众的，大众的，公众的；通俗的，普通的，平易的；〈美俚〉自以为了不得的，骄傲的
Democratic	 [ˌdeməˈkrætɪk]	adj. 	民主的；民主政体的；民主主义的；民主党的
film	 [fɪlm]	n. 	影片；电影；胶片；薄层
		vt.& vi. 	（把…）拍摄（成）电影[电视等]；上镜头
		vt. 	（给…）覆上一薄层；生薄膜；变得朦胧
mouth	 [maʊθ]	n. 	口；出入口；传闻
		vt. 	装腔作势地说；喃喃地说，心不在焉地说，言不由衷地说
		vi. 	装腔作势说话
Corps	 [kɔ:z]	n. 	兵团；特种部队；一群人，一组人
importance	 [ɪmˈpɔ:tns]	n. 	重要性；重要地位，显著；骄傲，自大
touch	 [tʌtʃ]	vt. 	触摸；使某物与…轻轻接触；吃或喝，尝；[数]与…相切
		n. 	触摸，碰；触觉，触感；修饰，润色；痕迹
		vi. 	接触；联系
director	 [dəˈrektə(r)]	n. 	主管，主任；董事，理事；负责人，监督者；导演
ship	 [ʃɪp]	n. 	船；宇宙飞船；（舰船上的）全体船员；运气
		vt.& vi. 	运送
		vt. 	把…装上船；装好（船具）；上市；使乘船
		vi. 	在船上工作；乘船旅行；当船员
council	 [ˈkaʊnsl]	n. 	委员会；（郡、镇等）政务会；（尤指旧时讨论特定步骤的）协商会议；市政（或地方管理）服务机构
EFFECTS	 [ɪˈfekts]	n. 	动产，财物，家财；结果( effect的名词复数 )；效果；感受；个人财产
event	 [ɪˈvent]	n. 	事件，大事；活动，经历；结果；运动项目
worth	 [wɜ:θ]	adj. 	值得的；有…的价值；等值的；有…的财产
		n. 	财富，财产；价值
existence	 [ɪgˈzɪstəns]	n. 	存在，实在；生活，生活方式；实体，存在物
designed	 [dɪ'zaɪnd]	adj. 	有计划的，原意的
		v. 	设计，绘制( design的过去式和过去分词 )；设计；计划；企图
hardly	 [ˈhɑ:dli]	adv. 	几乎不；简直不；刚刚；严厉地，粗鲁地
indicated		adj. 	表明的；指示的
		v. 	标示( indicate的过去式和过去分词 )；指示；象征；表明或暗示…的可能性
analysis	 [əˈnæləsɪs]	n. 	分析，分解；梗概，要略；[数]解析；验定
established	 [ɪˈstæblɪʃt]	adj. 	已建立的；已设立的；已制定的；确定的
		v. 	建立( establish的过去式和过去分词)；确定；[植物学]使（植物）定植；使成为
products	 [p'rɒdʌkts]	n. 	乘积( product的名词复数 )；（自然、化学或工业过程的）产物；产量；制品
growing	 [ˈgrəʊɪŋ]	adj. 	生长的；成长中的；增长的；初期的困难（或问题等）
		v. 	种植( grow的现在分词 )；扩大；扩展；增加
patient	 [ˈpeɪʃnt]	adj. 	有耐性的；能容忍的
		n. 	患者；病人；病号
rule	 [ru:l]	n. 	规则，规定；统治，支配；章程
		vt.& vi. 	控制，支配；判定；裁定，裁决；价格稳定
		vt. 	统治；规定；管理；裁决
		vi. 	统治；管辖；裁定
bridge	 [brɪdʒ]	n. 	桥；桥牌；鼻梁；起联系作用的东西
		vt. 	在…建桥，架桥于…之上；通过桥横跨
pain	 [peɪn]	n. 	痛苦；刻苦；令人厌烦的人[事物]；身体某部分的疼痛[不适]
		vt.& vi. 	（使）疼痛，（使）痛苦，伤害
		vt. 	使…痛苦；使…烦恼
		vi. 	感到疼痛；引起疼痛
