Wilson	 ['wɪlsn]	n. 	威尔逊(m.) chamber [核]威尔逊云室
rival	 [ˈraɪvl]	n. 	对手；竞争者
		vt. 	与…竞争；比得上某人
		vi. 	竞争
		adj. 	竞争的
ease	 [i:z]	n. 	轻松，舒适；容易；安逸；不拘束，自在
		vt. 	解除痛苦；减轻；延缓；松弛
		vi. 	缓解，减少；轻松前进
Martin	 ['ma:tɪn]	n. 	马丁（男子名）
roast	 [rəʊst]	vt.& vi. 	烤，烘，焙
		vt. 	嘲讽，挖苦
		n. 	烤肉；户外烧烤野餐
		adj. 	烤好的，烤制的
roll	 [rəʊl]	vt. 	辗；使（眼球等）左右转动；（使）原地转圈；滚动
		vi. 	左右摇晃；翻滚；开始移动，启动
		n. 	名册；滚翻
deed	 [di:d]	n. 	行为；行动；契约；证书
		v. 	立契转让
extended	 [ɪkˈstendɪd]	adj. 	延伸的；伸展的；延长的；扩大的
		v. 	延伸(extend的过去式和过去分词)；伸展；延长
fun	 [fʌn]	n. 	乐趣；娱乐活动；嬉戏，嬉闹；有趣的事
		adj. 	使人愉快的；开心的
		vi. 	嬉闹；开玩笑
preference	 [ˈprefrəns]	n. 	偏爱；优先权；偏爱的事物；（债权人）受优先偿还的权利
explosion	 [ɪkˈspləʊʒn]	n. 	爆炸，炸裂；爆发；扩张，激增；（感情，尤指愤怒的）突然爆发
Joseph	 ['dʒəʊzɪf]	n. 	约瑟夫（男子名）
frequent	 [ˈfri:kwənt]	adj. 	频繁的，时常发生的，常见的；（脉搏等）急促的，快的
		vt. 	常到，光顾，常与…交往；常去，时常出入于
theatrical	 [θiˈætrɪkl]	adj. 	戏剧的，戏剧性的；剧场的；夸张的；做作的
		n. 	戏剧表演；戏剧演员；戏剧表演艺术；做戏似的动作
cultivate	 [ˈkʌltɪveɪt]	vt. 	耕作，种植；教养，栽培；改善；交朋友
collector	 [kəˈlektə(r)]	n. 	收藏家，采集者；收集器；收税员；[电子学] 集流器
remark	 [rɪˈmɑ:k]	n. 	注意，观察；话语；评论，谈论，
		vt.& vi. 	评论；觉察
miserable	 [ˈmɪzrəbl]	adj. 	悲惨的；令人痛苦的；太少的；卑鄙的
attitude	 [ˈætɪtju:d]	n. 	态度；看法；姿势；个人风格
Britain	 [ˈbrɪtn]	n. 	不列颠，英国
stress	 [stres]	n. 	强调；重音；压力；重力
		vt. 	重读；[机械学]使承受压力；给…加压力（或应力）
wrist	 [rɪst]	n. 	腕，手腕；腕关节；（衣袖等的）腕部
begins		v. 	开始( begin的第三人称单数 )；着手；创始；创办
favorite	 ['feɪvərɪt]	n. 	特别喜欢的人（或物）；喜欢的事物；最有希望获胜者（尤指马）；收藏夹
		adj. 	喜爱的，宠爱的，中意的
		 	[美国英语] = favourite
rabbit	 [ˈræbɪt]	n. 	兔子，野兔；兔子皮毛；兔子肉；〈俚〉新手，弱手
		vi. 	猎兔（通常作 go rabbiting）；（兔子似的）聚拢在一起；唠叨，喋喋不休（常与on about连用）
		vt. 	让…见鬼去吧
accustom	 [əˈkʌstəm]	vt. 	使习惯
divided	 [dɪˈvaɪdɪd]	adj. 	分离的，被分割的，分裂的
		v. 	分( divide的过去式和过去分词 )；划分；分离；（使）产生分歧
theme	 [θi:m]	n. 	[乐]主题；主旋律；题目，话题；（学生的）作文
		adj. 	以奇想主题布置的
tide	 [taɪd]	n. 	潮汐；潮流，趋势；时机；时期，季节
		vt. 	顺应潮水航行；使随潮水漂行
aim	 [eɪm]	vt. 	瞄准；对准；踢向；挥向
		vi. 	旨在；以…为目标；致力于；决定
		n. 	目的；目标；瞄准
insult	 [ɪnˈsʌlt]	vt. 	侮辱，凌辱；辱骂；损害
	 [ˈɪnsʌlt]	n. 	侮辱，凌辱；损害；无礼
percent	 [pə'sent]	n. 	百分比，百分数；百分之一
		adj. 	百分之…的，每一百中有…的；百分之…支付利息的
		adv. 	以百分之…地，每一百中有…地
rooms		n. 	房间( room的名词复数 )；空间；（租用的）住所；房间里所有的人
thumb	 [θʌm]	n. 	拇指；（手套的）拇指部份
		vi. 	翘起拇指请求搭乘（过路汽车），示意请求搭便车；翻阅
		vt. 	翻阅；作搭车手势；用拇指翻脏[翻坏]（书页等）
device	 [dɪˈvaɪs]	n. 	装置，设备；方法；策略；手段
lump	 [lʌmp]	n. 	块，团；肿块；许多，大量；笨拙的人
		vi. 	结成块；成团；笨重地行走
		vt. 	使成团，使成块；使团结在一起；把…混在一起
		adj. 	成团的，成块的
		adv. 	很，非常
recognition	 [ˌrekəgˈnɪʃn]	n. 	认识，识别；承认，认可；褒奖；酬劳
annoy	 [əˈnɔɪ]	vt. 	打扰；干扰；使烦恼；使恼怒
		vi. 	惹恼，令人讨厌，打搅
		n. 	烦恼（等于annoyance）
runs	 [rʌnz]	v. 	跑( run的第三人称单数 )；移动；（使）流动；（工作等）进行
toy	 [tɔɪ]	n. 	玩具，玩物；小装饰品；无实用价值的东西
		vi. 	玩弄；不认真地考虑
		adj. 	玩具的；作玩具的；个头很小的；小体型品种的
heal	 [hi:l]	vt. 	恢复健康的状态；使恢复正常；使（某人）精神恢复健康
		vi. 	变得完整和健全
IMPROVED	 [ɪm'pru:vd]	adj. 	改良的
		v. 	改善，改进，提高( improve的过去式和过去分词 )；提高（土地、地产）的价值；利用（机会）；抓紧（时间）
games	 [geɪmz]	n. 	运动( game的名词复数 )；运动会；游戏；一场
shallow	 [ˈʃæləʊ]	adj. 	浅的，肤浅的；表面的，皮毛的；（水，器物等）浅的；（呼吸）浅的
		n. 	浅处；浅滩
		v. 	使变浅；使变浅薄
cultural	 [ˈkʌltʃərəl]	adj. 	文化的；教养的，修习的；耕作的，开垦的，栽培[培养]的
repetition	 [ˌrepəˈtɪʃn]	n. 	重复，反复；背诵；复制品，副本；[乐]复唱，复奏，重奏
soup	 [su:p]	n. 	汤，羹；浓雾；硝化甘油炸药；困境
		vt. 	加大马力
whistle	 [ˈwɪsl]	vi. 	吹口哨，吹哨子，鸣汽笛；呼啸；（动物）发出刺耳的叫声；吹口哨召唤
		vt. 	由吹口哨而发出；吹口哨召唤；用哨声使…行动
		n. 	口哨，哨子；汽笛；哨声，笛声；啭鸣声：尖厉高音
components	 [kəm'pəʊnənt]	n. 	（机器、设备等的）构成要素，零件，成分；成分( component的名词复数 )；[物理化学]组分；[数学]分量；（混合物的）组成部分
		adj. 	组成的，构成的
scenery	 [ˈsi:nəri]	n. 	风景，景色；舞台布景；风景画；舞台面
apple	 [ˈæpl]	n. 	苹果；苹果树；苹果公司
generation	 [ˌdʒenəˈreɪʃn]	n. 	一代人；代（约30年），时代；生殖；产生
offense	 [əˈfens]	n. 	进攻；（球队的）前锋；进攻方法；攻势
properly	 [ˈprɒpəli]	adv. 	适当地；恰当地；正确地；完全，非常
role	 [rəʊl]	n. 	作用；地位；角色
afford	 [əˈfɔ:d]	vt. 	买得起；担负得起；提供；给予
cork	 [kɔ:k]	n. 	软木；软木塞；（钓鱼用）软木浮子；[植]外皮
		vt. 	抑制，压制（感情）；用软木塞塞住；（滑稽歌剧化妆中）用软木炭把脸涂黑
		adj. 	用软木制的
identity	 [aɪˈdentəti]	n. 	身份；[逻]同一性；个性；[数]恒等（式）
ripe	 [raɪp]	adj. 	成熟的；醇美可口的；老练的；时机成熟的
		v. 	〈诗〉同“ripen“
temper	 [ˈtempə(r)]	n. 	性情，脾气；特征；（钢等）回火；怒气
		vt. 	调和；使回火；锻炼；缓和
		vi. 	使调和
sore	 [sɔ:(r)]	adj. 	疼痛的；使人伤心的；恼火的，发怒的
		n. 	（肌肤的）痛处，伤处
		adv. 	〈古，诗〉同sorely
thank	 [θæŋk]	vt. 	谢谢，感谢；责怪，把…归于
		n. 	感谢，谢谢，道谢的话
Marine		 	[人名] 马林；[地名] [美国] 马林
pinch	 [pɪntʃ]	vt. 	捏，掐；挤痛，夹痛；使（植物）枯萎，凋谢；使紧缺，节制
		vi. 	挤痛，压痛；吝惜，节约
		n. 	匮乏；少量，一撮；困苦
diamond	 [ˈdaɪəmənd]	n. 	钻石，金刚石；菱形；方块
		vt. 	镶钻石于；用钻石装饰
		adj. 	金刚石的；菱形的；用钻石装饰的
inner	 [ˈɪnə(r)]	adj. 	内部的，内心的；精神的；秘密的
		n. 	内部，里面；射中接近靶心部分的一发
razor	 [ˈreɪzə(r)]	n. 	剃刀，刮面刀
		vt. 	剃；用剃刀刮
wished		v. 	希望，想要，但愿( wish的过去式和过去分词 )；祝愿；盼望，企求，想要
imaginative	 [ɪˈmædʒɪnətɪv]	adj. 	富于想像力的，运用想像力的；想象或创造出来的；沉溺于想象的；虚假的
sounds	 ['saʊndz]	vi. 	听起来
		n. 	声音( sound的名词复数 )；音调；嗓音；播音
		v. 	（使）发出声音，响( sound的第三人称单数 )；发（音）；试探；探测
hook	 [hʊk]	n. 	钩，铁钩；弯曲部分，有钩部分；圈套，陷阱；〈俚〉锚
		vt.&vi. 	用钩挂；〈俚〉偷，扒
		vt. 	钩，钩住；引上钩；牢牢抓住
		vi. 	弯成钩状
wagon	 [ˈwægən]	n. 	四轮的运货马车；铁路货车；小手推车；囚车
		vt. 	用运货马车运输货物
		na. 	“waggon”的变体
copper	 [ˈkɒpə(r)]	n. 	铜；铜币；紫铜色；警察
		adj. 	铜制的
		vt. 	镀铜
publication	 [ˌpʌblɪˈkeɪʃn]	n. 	出版；出版物；公布；发表
Jews		n. 	犹太教徒( Jew的名词复数 )；犹太人
landlord	 [ˈlændlɔ:d]	n. 	房东，地主；店主
influential	 [ˌɪnfluˈenʃl]	adj. 	有影响的；有权势的
		n. 	有影响力的人物
rot	 [rɒt]	n. 	腐烂，腐朽
		vt.& vi. 	（使）腐烂，（使）腐朽
hollow	 [ˈhɒləʊ]	adj. 	空的；空洞的；虚伪的；空腹的
		n. 	洞，坑；山谷
		vt.& vi. 	挖空（某物），变空；挖出（孔、洞）
		adv. 	完全，彻底
phone	 [fəʊn]	n. 	电话；听筒；（发声或使用声音的）工具；说某种语言的
		vt.& vi. 	打电话（给某人）
