base	 [beɪs]	n. 	基础；基地；根据；基数（如十进制的10 和二进制的2）
file	 [faɪl]	vt. 	提出（离婚诉讼或其他讼案）；把…归档；用锉锉；发稿，寄给报社
		vi. 	发送（报道给报社）；排成一行行走；提出申请
		n. 	文件（夹）；档案；纵列；锉刀
wind	 [wɪnd]	n. 	风；气流；吞下的气；管乐器
		vt. 	蜿蜒；缠绕；上发条；使喘不过气来
		adj. 	管乐的
provides		v. 	提供，供给，供应( provide的第三人称单数 )；规定；提供[(+for)]；装备
shop	 [ʃɒp]	n. 	商店；工厂；办事处；购物
		vt.& vi. 	（到…）去买东西[购物]；逛商店
		vt. 	购物；买东西
apartment	 [əˈpɑ:tmənt]	n. 	寓所，住房；房间；公寓楼；（有特殊用途或专属某人的）豪华寓所
fashion	 [ˈfæʃn]	n. 	时尚，时装；时装领域，时尚界；方式，方法
		vt. 	制作，塑造；使适应
reasonable	 [ˈri:znəbl]	adj. 	合理的，公道的；明白道理的；适当的；有理性的
created	 [kri':eɪtɪd]	adj. 	创造的
		v. 	创造( create的过去式和过去分词 )；引起；造成；封
Germany	 ['dʒɜ:mənɪ]	 	德国（欧洲国家）
watched		vt. 	注视，注意（watch的过去式与过去分词形式）
cells	 ['selz]	n. 	细胞( cell的名词复数 )；小牢房；（修道士或修女住的）小房间；电池
session	 [ˈseʃn]	n. 	开会，会议；（法庭的）开庭；会期，学期；（进行某活动连续的）一段时间
somehow	 [ˈsʌmhaʊ]	adv. 	以某种方式，用某种方法；不知怎么地，不知道怎样，不晓得什么缘故；设法，想办法，想个方法；莫明其妙地
fully	 [ˈfʊli]	adv. 	充分地；完全地；足足；彻底地
whose	 [hu:z]	pron. 	谁的；那个人的，那些人的；他的，他们的
teacher	 [ˈti:tʃə(r)]	n. 	教师，教员，老师，先生；[航]教练机
raise	 [reɪz]	v. 	提升；增加；养育；筹集
		n. 	提升；增加；高处；举起
recognized	 ['rekəɡnaɪzd]	adj. 	公认的，经过验证的
		v. 	认出( recognize的过去式和过去分词 )；承认[认清]（某事物）；赏识；承认…有效[属实]
unity	 [ˈju:nəti]	n. 	统一体；（艺术等）完整；（文学、戏剧）（情节、时间和地点的）统一性；团结一致
Providence	 ['prɒvɪdəns]	 	普罗维登斯（美国罗得岛州的首府）
reference	 [ˈrefrəns]	n. 	参考；参考书；提及，涉及；证明人，介绍人
		v. 	引用；参照
explained	 [ɪksp'leɪnd]	v. 	讲解，解释( explain的过去式和过去分词 )；说明…的原因，辩解；说明，解释，辩解
twenty	 [ˈtwenti]	n. 	二十，二十个；二十多岁；二十年代；许多，大量
		num. 	二十
		adj. 	二十的
Russian	 [ˈrʌʃn]	adj. 	俄国的，俄罗斯的；俄语的
		n. 	俄国人，俄罗斯人；俄语
features	 ['fi:tʃəz]	n. 	特征( feature的名词复数 )；特写；[复数]面貌；面貌的一部分（如眼、鼻、口等）
shoulder	 [ˈʃəʊldə(r)]	n. 	肩膀；（衣服的）肩部；山肩；路肩
		vt. 	担负，承担；肩起，挑起；用肩顶…
sir	 [sɜ:(r)]	n. 	先生；（用于姓名前）爵士；（中小学生对男教师的称呼）先生；老师
forest	 [ˈfɒrɪst]	n. 	森林；丛林；（森林似的）一丛；一片
		vt. 	在…造林，使长满树林，使成为森林
studied	 [ˈstʌdid]	adj. 	有计划的；故意的；深思熟虑的；精通的
		v. 	学习，研究( study的过去式和过去分词 )；想出；详细地检查；背诵（台词等）
Sam		 	萨姆（男子名， Samuel的昵称）
signal	 [ˈsɪgnəl]	n. 	信号，暗号；预兆，征象；动机；导火线
		vt. 	向…发信号；用动作（手势）示意；以信号告知
		vi. 	发信号
		adj. 	显著的，优越的；暗号的，作信号用的
chair	 [tʃeə(r)]	n. 	椅子；大学教授职位；主持会议的主席（的席位或职位）；讲座
		vt. 	主持；使…入座；使就任要职
reduced	 [rɪ'dju:st]	adj. 	减少的，简化的
		v. 	换算( reduce的过去式和过去分词 )；约束；使变为；使变弱
procedure	 [prəˈsi:dʒə(r)]	n. 	程序，手续；工序，过程，步骤；诉讼程序，（议会的）议事程序；〈罕〉进行
forth	 [fɔ:θ]	adv. 	向前，向前方；露着的，往外的；[废语]出外，离家
		prep. 	出自，从…离开
limit	 [ˈlɪmɪt]	n. 	限制；限量，限度；界限
		vt. 	限制，限定
disturb	 [dɪˈstɜ:b]	vt. 	打扰，妨碍；使骚动；使不安，使烦恼；妨碍睡眠（休息等）
universe	 [ˈju:nɪvɜ:s]	n. 	宇宙；天地万物； 经验领域
mentioned	 ['menʃnd]	v. 	提到( mention的过去式和过去分词 )；说起；提名表扬；传令嘉奖
pick	 [pɪk]	vt.& vi. 	挑选，挑拣；挖，采，摘，剔，扒；挑剔
		n. 	选择；收获；精华
reality	 [riˈæləti]	n. 	现实，现实性；真实情况，实际情形；实体，实在；事实
differences	 ['dɪfərəns]	n. 	差别( difference的名词复数 )；差异；差距；分歧
soft	 [sɒft]	adj. 	软的，柔软的；温和的，柔和的；不含酒精的；轻松的
		n. 	柔软之物，柔软的部分
		adv. 	柔和地；温柔地
traditional	 [trəˈdɪʃənl]	adj. 	传统的；口传的；惯例的；因袭的
Mission		 	[地名] [加拿大、美国] 米申
flat	 [flæt]	adj. 	平的；单调的；不景气的；干脆的
		adv. 	（尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地
		n. 	平地；公寓；平面
		vt. 	使变平；[音乐]使（音调）下降，尤指降半音
		vi. 	逐渐变平；[音乐]以降调唱（或奏）
looks	 [lʊks]	n. 	（尤指吸引人的）相貌( look的名词复数 )；眼神；样子
		v. 	看，瞧( look的第三人称单数 )；注意；面向；寻找
picked	 [pɪkt]	adj. 	精选的，摘下的
		v. 	采( pick的过去式和过去分词 )；摘；啄；叼
weather	 [ˈweðə(r)]	n. 	天气， 气象；暴风雨
		vt.& vi. 	晒干， 风化
		vt. 	平安渡过， 挨过；[地]使风化
smaller	 [s'mɔ:lər]	adj. 	更小的；小的( small的比较级 )；小气的；（服装、食品、家用设施等）小号的；小规模的
leg	 [leg]	n. 	腿；支柱，支架；裤腿；一段赛程
		vi. 	走，跑
chairman	 [ˈtʃeəmən]	n. 	（主持会议的）主席；委员长；（委员会的）委员长；（公司等的）董事长
		vt. 	担任…的主席
ancient	 [ˈeɪnʃənt]	adj. 	古代的，已往的；古老的，过时的；年老的；老式的
		n. 	古代人；古文明国的国民；高龄老人；旗手
narrow	 [ˈnærəʊ]	adj. 	狭隘的；狭窄的；（种类或数目）有限的；仔细的，精确的
		vt. 	限制，限定；（使）变窄；变得更窄；收缩
		n. 	海峡；狭路，隘路；狭窄的水道
		vi. 	变窄
fellow	 [ˈfeləʊ]	n. 	同伴；男子；（大学的）研究员；（某些学院或大学的）董事
		adj. 	同伴的；同事的；同类的；同情况的
		vt. 	使…与另一个对等；使…与另一个匹敌
twist	 [twɪst]	vt. 	扭成一束；搓，捻；绕，卷；连结，交结
		vi. 	被搓揉；蜿蜒，曲折；扭曲身体，扭动；旋转，转动
		n. 	揉搓之物；丝线；烟草卷；旋转
belief	 [bɪˈli:f]	n. 	信，信任；信念，意见；信条
excellent	 [ˈeksələnt]	adj. 	卓越的；杰出的；优秀的；太好了
rights	 [raɪts]	n. 	认股权；右边( right的名词复数 )；权利；右手
		v. 	纠正( right的第三人称单数 )；公正对待；整理；补偿
vocational	 [vəʊˈkeɪʃənl]	adj. 	职业的，行业的；天职的；有助于职业的
laid	 [leɪd]	v. 	打赌( lay的过去式和过去分词 )；提出；放置；铺
politics	 [ˈpɒlətɪks]	n. 	政治，政治学；政治活动，政治斗争；政纲，（个人的）政见；经营，管理
fill	 [fɪl]	vt.& vi. 	（使）充满，（使）装满
		vt. 	满足；配药；（按订单）供应；使充满（感情）
		n. 	填满…的量；充分；装填物；路堤
response	 [rɪˈspɒns]	n. 	反应；回答，答复；[宗]回应经文，应唱圣歌
struggle	 [ˈstrʌgl]	vi. 	搏斗；奋斗；努力；争取
		n. 	打斗；竞争；奋斗
disappear	 [ˌdɪsəˈpɪə(r)]	vi. 	不见，消失；不复存在，灭绝
prove	 [pru:v]	vt. 	证明，证实；[法]验证，检定；显示
		vi. 	显示出，证明是
duty	 [ˈdju:ti]	n. 	职责，责任；义务；职责或工作；税收
FOLLOWS	 ['fɒləʊz]	v. 	跟随，接着( follow的第三人称单数 )；继承；（按时间、顺序等）接着；从事
editor	 [ˈedɪtə(r)]	n. 	编辑，编者；校订者；[计]编辑软件，编辑程序
welcome	 [ˈwelkəm]	vt. 	欢迎；乐于接受
		adj. 	受欢迎的；令人愉悦的；表示感谢的
		n. 	欢迎，迎接
anode	 [ˈænəʊd]	n. 	阳极
possess	 [pəˈzes]	vt. 	拥有；掌握，懂得；主宰；缠住，迷住
hearing	 [ˈhɪərɪŋ]	n. 	听力，听觉；审问；听力所及的距离，听得见的范围；听证会，〈美〉意见听取会
		v. 	听到，听见( hear的现在分词)
BUILDINGS	 ['bɪldɪŋz]	n. 	建筑物( building的名词复数 )；楼房；房屋；建筑（艺术或行业）
ideal	 [aɪˈdi:əl]	adj. 	理想的，完美的；被认为是最好的；完全或相当令人满意的；想象的，假设的
		n. 	理想；典范，典型；目标，高尚的、有价值的原则或目标
scientist	 [ˈsaɪəntɪst]	n. 	科学家；科学工作者
formed	 ['fɔ:md]	adj. 	成形的，成形加工的
		v. 	形成，构成，产生( form的过去式和过去分词 )；是；（使）成形；结成（友谊）
watching	 ['wɒtʃɪŋ]	n. 	观察；看守；注意；监视
circle	 [ˈsɜ:kl]	n. 	圆；圆状物；一圈；圈子
		vt. 	圈出，包围；绕…运转
		vi. 	环绕，盘旋
ought	 [ɔ:t]	aux. 	应该（指道义上有责任）；应当（显示所采取行动正确或明智）；可能会；预料会做（某事）
		vt.& vi. 	应该（指道义上有责任）；（表示愿望）应当（显示所采取行动正确或明智）；可能会；预料会做（某事）
garden	 [ˈgɑ:dn]	n. 	花园，菜园；公园；供应点心的露天设施；大型公共礼堂
		vt. 	造园，开辟（一小片土地）作为花园；以花园装饰
		vi. 	从事园艺
		adj. 	花园的，园艺的；普通的，平凡的
library	 [ˈlaɪbrəri]	n. 	图书馆，藏书楼；藏书；书屋，书斋；图书出租处
accuse	 [əˈkju:z]	v. 	指责，谴责；指控
message	 [ˈmesɪdʒ]	n. 	信息；消息；要旨；教训
		v. 	给…发消息；给…留言
slight	 [slaɪt]	adj. 	微小的；细小的；不结实的；无须重视的
		n. 	轻蔑，忽视，冷落
		vt. 	轻蔑，忽视，怠慢
junior	 [ˈdʒu:niə(r)]	adj. 	较年幼的，较年小的；三年级的，低年级的；资历较浅的；后进的
		n. 	年少者，青少年；晚辈；三年级生；职位较低者
knock	 [nɒk]	n. 	短促的敲打（声）；爆震声；敲击声；敲门（或窗等）声
		vi. 	猛烈敲击；与某物相撞；撞到了桌子
		vt. 	（心）怦怦跳；把…撞击成（某种状态）；批评
empty	 [ˈempti]	adj. 	空的，空虚的，空洞的；空闲的，无效的，徒劳的；无聊的，愚蠢的；言语或行动空洞的
		vt. 	（使）成为空的， 把…弄空；把…腾出来
		vi. 	成为空的；流空
		n. 	空车；空的东西
protection	 [prəˈtekʃn]	n. 	保护；护照；[经]保护贸易制，保护政策；（向歹徒缴纳的）保护费
treated	 [tri:tɪd]	adj. 	已处理过的，精制过的，加工过的
		v. 	处理( treat的过去式和过去分词 )；探讨；对待；请（客）
birth	 [bɜ:θ]	n. 	出生；分娩；起源；出身
expressed		v. 	表达( express的过去式和过去分词 )；（用符号等）表示；榨；[express oneself]（如在说话、写作或绘画中）表达（自己）的意见
