the	 [ðə]	art. 	指已提到的人（物）；指说话人与听者已知的人（物）；用于独一无二的事物前；与形容词最高级和序数词连用
		vt. 	完成，使完满；完成或结束；填写（表格）
music	 [ˈmju:zɪk]	n. 	音乐；乐曲；乐谱；乐队
necessary	 [ˈnesəsəri]	adj. 	必要的；强制的；必然的；不可避免的
		n. 	必需品
society	 [səˈsaɪəti]	n. 	社会；上流社会；社团；社群
		adj. 	上流社会的，社交界的
behind	 [bɪˈhaɪnd]	prep. 	（表示位置）在…的后面；支持；（表示顺序）在身后；（表示比较）落后于
		adv. 	在后面；向后；在后面较远处；（落）在后面
		n. 	〈口〉屁股
type	 [taɪp]	n. 	类型；铅字；（印刷或打印的）文字；于…类型的
		vt.& vi. 	打字
		vt. 	[医学]测定（血型）；按类型把…归类；成为…的典型；[印刷]浇铸（铅字等）
read	 [ri:d]	vt.& vi. 	阅读，朗读；显示；研究；看得懂
		vt. 	显示；阅读；读懂，理解
		n. 	阅读；读物；读书；里德（人名）
		adj. 	被朗读的；博识的；博览的；有学问的
idea	 [aɪˈdɪə]	n. 	主意，想法；[哲]理念，观念；[乐]乐句；模糊想法
wanted	 [ˈwɒntɪd]	adj. 	受通缉的；被征求的
		v. 	缺少( want的过去式和过去分词 )；应该；打算；需要…在场
land	 [lænd]	n. 	陆地；国家；地产；土地
		vt.& vi. 	（使）登岸；降临；使陷于（困境）；使不得不应付
		vt. 	自船上卸下；获得；捕到；钓到（鱼）
		vi. 	跳落，跌落，被抛落（地面）
party	 [ˈpɑ:ti]	n. 	社交聚会；党，党派；当事人；同类，伙伴
		v. 	为…举行社交聚会；为…请客；参加社交聚会
		adj. 	政党的，党派的；社交的，聚会的；共有的，共同的
class	 [klɑ:s]	n. 	班；等级；阶级；种类
		vt. 	把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
		adj. 	很好的，优秀的，出色的
		vi. 	属于…类（或等级），被列为某类（或某级）
organize	 [ˈɔ:gənaɪz]	v. 	组织；安排；规划；建立组织
return	 [rɪˈtɜ:n]	v. 	回转，返回；复发，又来；送还；言归正传
		n. 	归来，返乡；来回，汇成；赢利；统计表
department	 [dɪˈpɑ:tmənt]	n. 	部门，部；系，学部；知识范围；车间
education	 [ˌedʒuˈkeɪʃn]	n. 	教育；教育学；培养；训练
following	 [ˈfɒləʊɪŋ]	adj. 	后面的，其次的；下列的；顺风的
		n. 	崇拜者，拥护者；下列，如下；跟随；随球
		prep. 	随后，在…以后
		v. 	跟随，接着(follow的现在分词)
mother	 [ˈmʌðə(r)]	n. 	母亲，妈妈；女修道院院长；大娘
		vt. 	像母亲般地照顾；养育；溺爱
sound	 [saʊnd]	n. 	声音，声响；音调，声调；声波；嘈杂声
		vi. 	响，发声；听起来，好像；回响；[音乐]乐器等被奏响
		vt. 	使出声，使发声；清楚地发出；宣布，发表；颂扬
		adj. 	健全的；合理的；完好的，无损的；明智的
		adv. 	彻底地，充分地
ago	 [əˈgəʊ]	adv. 	以前；过去的；之前
nation	 [ˈneɪʃn]	n. 	国家；民族；国民；政府
voice	 [vɔɪs]	n. 	嗓音；（动词的）语态；呼声，发言权；歌唱才能
		vt. 	发音；表达，说出；给（一部乐曲）配上声部；给（如管风琴音管）整声
six	 [sɪks]	n. 	六；六个；六岁；六点
		num. 	六；六个
bring	 [brɪŋ]	vt. 	带来，引来；促使，引起；提供；导致
wife	 [waɪf]	n. 	妻子，太太；夫人，老婆；已婚妇女
common	 [ˈkɒmən]	adj. 	普通的；通俗的；[数学]公共的；共有的
		n. 	[法律]（对土地、水域的）共有权；公共用地；普通；平民
south	 [saʊθ]	n. 	南方；南部；美国南方各州；（南半球的）发展中国家
		adj. 	南的；（风）来自南方的；南风的；南方吹来的
		adv. 	向南方，在南方
strong	 [strɒŋ]	adj. 	强的；坚强的；强烈的；强壮的
		adv. 	强劲地；猛烈地；大大地；坚强地
town	 [taʊn]	n. 	城镇，市镇；小村庄；城镇居民；商业中心
book	 [bʊk]	n. 	书；卷；课本；账簿
		vt.& vi. 	预订
		vt. 	登记；（向旅馆、饭店、戏院等）预约；立案（控告某人）；订立演出契约
		adj. 	书的；账簿上的；得之（或来自）书本的；按照（或依据）书本的
students	 [st'ju:dnts]	n. 	学生，大学生( student的名词复数 )；研究者；中学生
hear	 [hɪə(r)]	vt.& vi. 	听到，听见
		vt. 	听说；得知；听取；审理
		vi. 	听；听见
hope	 [həʊp]	n. 	希望，期望；希望的东西；被寄予希望的人或事物、情况；抱有希望的理由
		vt.& vi. 	希望，期望
		vt. 	[俚语]相信，认为
		vi. 	希望，盼望，期待
able	 [ˈeɪbl]	adj. 	能够的；有能力的；有才干的；干练的
industry	 [ˈɪndəstri]	n. 	工业；产业（经济词汇）；工业界；勤劳
stand	 [stænd]	n. 	台，看台；立场；停止；抵抗
		vi. 	站立，起立；竖直放置；保持看法；停滞
		vt. 	使站立；忍受；抵御；承担责任
		vt.& vi. 	站立，（使）直立，站着
tax	 [tæks]	vt. 	使负重担；消耗精力；向…征税；责备，谴责
		n. 	税，税额；负担
west	 [west]	n. 	西，西部，西方
		adj. 	在西方的；西部的；朝西的；（风）来自西面的
		adv. 	向西，朝西；自西方；向西方
meet	 [mi:t]	vt.& vi. 	相遇；相识；开会；接触（某物）
		vt. 	满足；支付；迎接；经历（常指不愉快的事）
		n. 	运动会，体育比赛；猎狐运动（尤其英式英语）
		adj. 	适当的；合适的；恰当的
particular	 [pəˈtɪkjələ(r)]	adj. 	特别的；详细的；独有的；挑剔的
		n. 	特色，特点；（可分类，列举的）项目；详细情节，细情，细目；某一事项
cut	 [kʌt]	vt.& vi. 	将（某物）切开（或分割）
		vt. 	削减；剪切；切成；删剪
		vi. 	电影；（为决定谁先出牌等）切牌；可被切割；可用于切割
		n. 	切口；削减；剪裁；切片
short	 [ʃɔ:t]	adj. 	短的，短暂的；矮的；短缺的；短期的
		adv. 	突然；唐突地；简短地；横贯地
		n. 	短裤；短路；缺乏
		vt. 	故意少给…的零头，骗取
		vi. 	短路
stood	 [stʊd]	v. 	坐落( stand的过去式和过去分词 )；维持原状；停着；处于某种状态
university	 [ˌju:nɪˈvɜ:səti]	n. 	综合性大学；大学人员；大学校舍
spirit	 [ˈspɪrɪt]	n. 	精神，心灵；情绪；勇气；精髓
		v. 	神秘地带走
start	 [stɑ:t]	n. 	开始；动身；开动；起点
		vt.& vi. 	出发，启程
		vt. 	起动；提出（问题）；开办；使开始
		vi. 	起始；突然出现；突然跳起；突然涌出
total	 [ˈtəʊtl]	adj. 	总计的（金额等）；全部的；完全的；绝对的
		n. 	总计，总数；全体数量
		vt.& vi. 	总计达，计算…的总数
future	 [ˈfju:tʃə(r)]	adj. 	将来的，未来的；[语法学]将来时的
		n. 	前途；[美国俚语]未婚妻；期货
front	 [frʌnt]	n. 	前面；正面；身体前部；前线
		adj. 	前面的；正面的；舌前的
		v. 	面向；在…前面；用…作正面；领导
low	 [ləʊ]	adj. 	低的，矮小的；楼下的，低洼的；沮丧的；下贱的
		adv. 	低声地；谦卑地；底下地
		n. 	低点；低水平；牛的叫声
		vi. 	（牛）哞哞叫
century	 [ˈsentʃəri]	n. 	百年，一世纪；百个；（板球）一百分；百元钞票
Washington	 ['wɒʃɪŋtən]	n. 	[地名]华盛顿；[英格兰人姓氏]华盛顿，来源于古英语人名Wassa+古英语，含义是“居留地”(settlement)
usually	 [ˈju:ʒuəli]	adv. 	通常，经常，平常，惯常地；一直，向来；动不动，一般；素
care	 [keə(r)]	v. 	关心；担心；照顾；喜爱
		n. 	照顾；小心；忧虑
recent	 [ˈri:snt]	adj. 	最近的；新近的；近代的；[地]全新世的
evidence	 [ˈevɪdəns]	n. 	证词；证据；迹象；明显
		vt. 	使明显；显示；表明；证实
further	 [ˈfɜ:ðə(r)]	adj. 	更远的，较远的；更进一步的，深一层的；更多的
		adv. 	进一步地；更远地；而且
		vt. 	促进，推动；增进
million	 [ˈmɪljən]	n. 	百万
		adj. 	百万的；无数的
simple	 [ˈsɪmpl]	adj. 	简单的；单纯的；易受骗的；天真的
		n. 	笨蛋；愚蠢的行为；出身低微者
road	 [rəʊd]	n. 	路；通路；途径；方法
		vt. 	在…设置路障；（狗）沿臭迹追逐（猎物）；（狗）闻着臭迹追
sometimes	 [ˈsʌmtaɪmz]	adv. 	有时，间或；时而
support	 [səˈpɔ:t]	vt. 	支持；帮助；支撑；维持
		n. 	支撑；支持者；[数学]支集；支撑物
view	 [vju:]	n. 	看法；风景；视域；[建筑学]视图
		vt. 	看；看待
fire	 [ˈfaɪə(r)]	n. 	火，燃烧物；火灾；射击，发射；热情
		vt.& vi. 	开火，射击；燃烧；引爆炸药；充满热情
		vt. 	解雇；射（箭）；激励；射出（子弹）
says	 [sez]	v. 	说，讲(say的第三人称单数)
hard	 [hɑ:d]	adj. 	困难的；硬的；有力的；努力的
		adv. 	努力地；猛力地；严重地；沉重地
		n. 	英〉硬海滩，登陆处
morning	 [ˈmɔ:nɪŋ]	n. 	早晨；上午；黎明；早期，初期
table	 [ˈteɪbl]	n. 	表，目录；桌子；手术台，工作台，游戏台；平地层
		vt. 	制表；搁置；嵌合；搁置
		adj. 	桌子的
left	 [left]	adj. 	左边的，左侧的；左派的
		n. 	左，左面；[军]左翼；左派，激进分子
		adv. 	向左；在左边
		v. 	离开( leave的过去式和过去分词)
situation	 [ˌsɪtʃuˈeɪʃn]	n. 	（人的）情况；局面，形势，处境；位置；[心理学]情境
try	 [traɪ]	vt.& vi. 	试图，努力；实验；审判；考验
		n. 	尝试，实验；[橄]触球，（因触球获得的）向球门踢球的权利
outside	 [ˌaʊtˈsaɪd]	adv. 	在外面；向外面；在户外；露天
		n. 	外面；（弯曲路面或轨道的）外道；（靠近路中央的）外侧；（建筑物等的）周围
		adj. 	外部的；集团外的；（选择余地、可能性等）非常小；可能性最大的
		prep. 	（表示位置）在[向]…的外面；（表示范围）超出…的范围；（表示排斥）除了（某人）
lines	 [laɪnz]	n. 	（演员的）台词；排( line的名词复数 )；线路；线条；方法
		v. 	排队( line的第三人称单数 )；用线标出；[棒球]（击球手）击出（平直球）；给…安衬里
surface	 [ˈsɜ:fɪs]	n. 	表面；外观，外表；地面。水面
		vi. 	浮出水面；在表面工作；显露
		vt. 	使浮出水面；使成平面
		adj. 	表面的，外观的；外表上的，平地上的；肤浅的
ask	 [ɑ:sk]	vt.& vi. 	问，询问；需要；要求，请求；邀请
		vt. 	邀请；请求允许；要价；询问
		vi. 	请，邀请；询问；要求
modern	 [ˈmɒdn]	adj. 	现代的；近代的；新式的；当代风格的
		n. 	现代人，现代主义者；时髦人士；[印]现代字体，指印刷中所用的一种字体
top	 [tɒp]	n. 	顶，顶部；（箱子）盖，（书页等的）上栏；首席；陀螺
		adj. 	最高的；顶上的；头等的；最大的
		vt. 	形成顶部；达到…的顶端；处于…的最前头；领导
		vi. 	总结；超越；高耸；结束
peace	 [pi:s]	n. 	和平；和睦；治安；安心
personal	 [ˈpɜ:sənl]	adj. 	个人的，私人的；身体的；亲自的；人身攻击的
		n. 	（报刊上的）人事栏，分类人事广告版；人称代名词；关于个人的简讯
member	 [ˈmembə(r)]	n. 	成员；分子；身体部位（尤指胳膊或腿）；构件，部件
minutes	 ['mɪnɪts]	n. 	[法] 备忘录，会议记录，审判记录；分( minute的名词复数 )；分钟；瞬间；片刻
lead	 [li:d]	vt. 	领导；引导；指挥
		vi. 	领导；导致；用水砣测深
		n. 	铅；领导；榜样；枪弹
		adj. 	领头的；最重要的；领先的
schools	 [s'ku:lz]	n. 	学校( school的名词复数 )；（大学里的）学院；学派；上学
talk	 [tɔ:k]	vt.& vi. 	说；讨论；说话；（用以强调款额、情况严重程度等）讲的是
		vt. 	谈论；商谈；（用某种语言）讲
		n. 	空话；交谈；话题
		vi. 	说闲话；讲人坏话；嚼舌头；供出消息
consider	 [kənˈsɪdə(r)]	vt.& vi. 	考虑；把（某人，某事）看作…，认为（某人，某事）如何；考虑，细想
		vt. 	考虑；认为；看重；以为
		vi. 	仔细考虑；深思
gone	 [gɒn]	adj. 	过去的；用完了；死去的；无望的，无可挽救的
		v. 	go的过去分词
soon	 [su:n]	adv. 	立刻，马上；一会儿，不久；快；宁愿
father	 [ˈfɑ:ðə(r)]	n. 	父亲；祖先；（尤指天主教和东正教的）神父；天父
		vt. 	成为父亲；创立（新思想）；创造；发明（新方法）
ground	 [graʊnd]	n. 	地面，土地；基础；范围；阵地，战场
		vi. 	搁浅，停飞；着陆
		vt. 	把…放在地上；在…的基础树立上；交给…基本知识；使…受初步训练
		v. 	grind的过去式和过去分词
living	 [ˈlɪvɪŋ]	adj. 	活（着）的；现存的；在使用中的；逼真的
		n. 	生计；生活方式；生存之道
		v. 	活( live的现在分词)；居住；以…为生；（按照规矩）管理生活
months	 [mʌnθs]	n. 	月( month的名词复数 )；一个月的时间；复数months: 数月；很长时间
therefore	 [ˈðeəfɔ:(r)]	adv. 	因此；所以；故；乃
America	 [ə'merɪkə]	n. 	美洲；美国；[电影]亚美利加
started	 [s'tɑ:tɪd]	v. 	出发，启程( start的过去式和过去分词 )；起动；提出（问题）；开办
