missing	 [ˈmɪsɪŋ]	adj. 	失去的；下落不明的
closing	 [ˈkləʊzɪŋ]	adj. 	结尾的；结束的
		n. 	终结；结尾辞
		v. 	close（关闭）的现在分词形式
paused		v. 	停顿( pause的过去式和过去分词 )；暂停；（按暂停键）暂停放音；暂停放像
arbitrary	 [ˈɑ:bɪtrəri]	adj. 	随意的，任性的，随心所欲的；主观的，武断的；霸道的，专制的，专横的，独断独行的；乱
Folklore	 [ˈfəʊklɔ:(r)]	n. 	民间传说；民俗学；民间创作
happening	 [ˈhæpənɪŋ]	n. 	事件；意外发生的事
		v. 	发生(happen的现在分词)；碰巧
textile	 [ˈtekstaɪl]	n. 	纺织品，织物；纺织业
mines		n. 	矿( mine的名词复数 )；矿井；地雷；水雷
		v. 	在…中开采，开采( mine的第三人称单数 )；在…中[下]布雷；以地雷[水雷]炸毁
libraries		n. 	图书馆（ library的名词复数 ）；图书室
limitations	 [lɪmɪ'teɪʃnz]	n. 	限制，边界；限制( limitation的名词复数 )；局限；极限；起限制作用的规则（或事实、条件）
sovereignty	 [ˈsɒvrənti]	n. 	国家的主权；君权，最高统治权；独立自主；主权国家
humanity	 [hju:ˈmænəti]	n. 	人类；人性；人道；人文学科
prayer	 [preə(r)]	n. 	祈祷；祈祷（习惯）；祈祷文；经文
hanging	 [ˈhæŋɪŋ]	n. 	绞死；绞刑；（墙上装饰用的）帘子；帷幔
		adj. 	应处以死刑的；量刑偏重的
		v. 	悬( hang的现在分词 )；（被）绞死；贴；逗留
consistent	 [kənˈsɪstənt]	adj. 	一致的；连续的；不矛盾的；坚持的
valid	 [ˈvælɪd]	adj. 	有效的；有法律效力的；正当的；健全的
clarity	 [ˈklærəti]	n. 	清楚，明晰；透明；明确；清晰度
judgments	 [d'ʒʌdʒmənts]	n. 	判断( judgment的名词复数 )；鉴定；评价；审判
committed	 [kəˈmɪtɪd]	adj. 	忠诚的，坚定的
		v. 	保证（做某事、遵守协议或遵从安排等）( commit的过去式和过去分词 )；把…托付给；把…记（或写）下来；承诺
passion	 [ˈpæʃn]	n. 	激情，热情；热心，爱好；热恋；酷爱
		vt.&vi. 	[诗歌用语]表露强烈感情，显示巨大热情
sensitivity	 [ˌsensəˈtɪvəti]	n. 	敏感，感受性；仪器等的)灵敏性；[摄]感光度
rhythm	 [ˈrɪðəm]	n. 	[诗]节奏，韵律；[医]节律，规律；[乐]节拍；[艺]调和
worthy	 [ˈwɜ:ði]	adj. 	应得某事物；值得做某事；可尊敬的；配得上的，相称的
		n. 	杰出人物，伟人
dried	 [draɪd]	adj. 	干燥的，干缩的
		v. 	变干，把…弄干(dry的过去式和过去分词)
participate	 [pɑ:ˈtɪsɪpeɪt]	vi. 	参加某事；分享某事
		vt. 	得到或接受某部分东西
