planned	 [plænd]	adj. 	计划了的，根据计划的
wet	 [wet]	adj. 	湿的；下雨的；懦弱的；（儿童）尿湿尿布的
		n. 	湿地；液体；窝囊废；雨天
		vt. 	使潮湿；把…弄湿
bedroom	 [ˈbedru:m]	n. 	卧室，寝室
		adj. 	城郊住宅区的；两性关系的，男女性爱的
sufficient	 [səˈfɪʃnt]	adj. 	足够的；充足的；充分的
chest	 [tʃest]	n. 	胸部，胸腔；箱子；金库；资金
dramatic	 [drəˈmætɪk]	adj. 	戏剧的，戏剧性的；引人注目的；激动人心的
silence	 [ˈsaɪləns]	n. 	沉默，无言，无表示，无声，沉静，肃静，寂静，缄默；无音信，失去联系，忘却，湮没，无表示，无音讯；[乐]停止
		vt. 	使安静；使沉默；压制
behave	 [bɪˈheɪv]	vi. 	表现；举止端正；自然反应
		vt. 	使守规矩
breakfast	 [ˈbrekfəst]	n. 	早餐，早饭；早餐食物
		vi. 	吃早餐
		vt. 	供给…早餐
sudden	 [ˈsʌdn]	adj. 	突然的，未预见到的；急躁的，仓促的；快的，迅速的；急剧
passage	 [ˈpæsɪdʒ]	n. 	（文章的）一段；经过；通路，通道；旅程，行程
scatter	 [ˈskætə(r)]	vt. 	（使）散开，（使）分散，驱散
		vi. 	撒开；分散
		n. 	撒布，散播
objection	 [əbˈdʒekʃn]	n. 	反对；反对的话，异议；反对的理由
unusual	 [ʌnˈju:ʒuəl]	adj. 	不常见的，不普通的，难得的，罕有的；异乎寻常的，例外的，奇异的；独特的；与众不同的
argument	 [ˈɑ:gjumənt]	n. 	争论，争吵；论据；[数]幅角；主题，情节
policy	 [ˈpɒləsi]	n. 	政策；策略；保险单；策略性
powerful	 [ˈpaʊəfl]	adj. 	强大的；权力大的；（药）有效地
		adv. 	很；非常
throat	 [θrəʊt]	n. 	咽喉；颈前部；[植物学]管颈
		vt. 	用沙哑的声音或嗓音发音
formal	 [ˈfɔ:ml]	adj. 	（学校教育或培训）正规的；方式上的；礼仪上的
		n. 	须穿礼服的社交集会；夜礼服
rapid	 [ˈræpɪd]	adj. 	快速的；[摄]感光快的；险峻的
		n. 	急流；高速交通工具，高速交通网
Parker	 [ˈpɑ:kə]	 	帕克（姓氏，男子名； Sir Gilbert, 1862-1932，加拿大出生的英国小说家，政治家）
wrap	 [ræp]	vt. 	包；缠绕；用…包裹（或包扎、覆盖等）；掩护
		n. 	膝毯，披肩，围巾，围脖，头巾，罩衫，外套，大衣；包装纸；〈俚〉机密
		vi. 	缠绕，盘绕（通常与 over, around 等连用）；包上，裹上；穿上（衣服等）
luck	 [lʌk]	n. 	运气；好运；机遇；命运
		vi. 	交好运，走运；侥幸成功
grind	 [graɪnd]	vt.& vi. 	磨碎，嚼碎；折磨
		vt. 	磨快，磨光；咬牙
		vi. 	嘎吱嘎吱地擦
		n. 	碾，磨；苦差事，苦活儿；〈美〉刻苦用功的学生；研细的程度
rifle	 [ˈraɪfl]	n. 	步枪；来福枪
		vt.& vi. 	快速搜寻；匆忙翻找 ；偷窃；盗取
HIGHEST	 [haɪɪst]	adj. 	最高的；高的( high的最高级 )；高尚的；高地的；高级的
loan	 [ləʊn]	n. 	贷款；借款；借用
		vt. 	借，借给
		vi. 	借出
represent	 [ˌreprɪˈzent]	vt. 	表现，象征；代表，代理；扮演；作为示范
		vi. 	代表；提出异议
skill	 [skɪl]	n. 	技能，技巧；熟练，巧妙；才能，本领
spell	 [spel]	vt. 	拼写；导致，意味着；组成（一个词）的字母是…
		vi. 	轮替
		n. 	符咒，咒语；魅力；一段时间；轮班
broken	 [ˈbrəʊkən]	adj. 	破碎的，打碎的；（腿，臂等）已骨折的；（线条）虚线的，断续的；被打断的
		v. 	打破，折断(break的过去分词)；打破（纪录）；损坏
arch	 [ɑ:tʃ]	n. 	弓形；拱门；拱形物；足弓，齿弓
		vt. 	（使）弯成拱形；用拱连接；向后弯
		vi. 	拱起；成为弓形
		adj. 	主要的；首要的；调皮的；淘气的
angle	 [ˈæŋgl]	n. 	角；[比喻]（考虑、问题的）角度；观点；轮廓鲜明的突出体
		vt. 	使形成（或弯成）角度；把…放置成一角度；调整（或对准）…的角度；使（新闻、报道等）带有倾向性
		vi. 	垂钓；斜移；弯曲成一角度；从（某角度）报道
sick	 [sɪk]	adj. 	恶心的；晕船；不舒服的；腻烦的
		vt. 	吐出；追逐；攻击
		n. 	呕吐物；病人
swell	 [swel]	vt.& vi. 	增强；肿胀；膨胀；充满（激情）
		n. 	汹涌；重要人士；（尤指身体部位）凸起的形状；声音渐强
		adj. 	极好的；了不起的；非常棒的
blind	 [blaɪnd]	adj. 	失明的；盲目的，轻率的；供盲人用的；隐蔽的
		vt. 	弄瞎，使失明；蒙蔽，欺瞒；使变暗；使昏聩
		n. 	掩饰；借口；百叶窗
		adv. 	盲目地；看不见地
Contemporary	 [kənˈtemprəri]	adj. 	当代的，现代的；同时代的，同属一个时期的
		n. 	同代人；同辈人；同龄人；当代人
engineer	 [ˌendʒɪˈnɪə(r)]	n. 	工程师，技师；（轮船的）机师；〈美〉（火车的）司机，；（陆军的）工兵
		vt. 	设计，策划；安排或处理；改变…的基因（或遗传）结构
military	 [ˈmɪlətri]	adj. 	军事的；军用的；讨厌的；好战的
		n. 	军人；军队；武装力量
boundary	 [ˈbaʊndri]	n. 	分界线；范围；（球场）边线
location	 [ləʊˈkeɪʃn]	n. 	位置，场所；定位；外景（拍摄地）
homes		n. 	家( home的名词复数 )；家庭；家庭生活；终点
boil	 [bɔɪl]	n. 	煮沸，沸腾；疔，疖子；[医]疡肿，脓肿
		vt.& vi. 	（使）沸腾，开
		vt. 	用开水煮，在沸水中煮
		vi. 	怒火中烧，异常气愤
officials	 [ə'fɪʃls]	n. 	行政官员( official的名词复数 )
operator	 [ˈɒpəreɪtə(r)]	n. 	经营者；操作员；电话接线员；运算符
Senate		n. 	（美国、澳大利亚等国议会的）参议院；（某些大学的）大学理事会，大学评议会
lend	 [lend]	vt. 	把…借给；贷（款）；贡献，给予；适于
		vi. 	增加；增添；给…增加；给予
paint	 [peɪnt]	n. 	颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰
		vt. 	涂色于；绘画；（用语言，文字等）描写；擦脂粉等
		vi. 	描绘；绘画；化妆
curious	 [ˈkjʊəriəs]	adj. 	好奇的； 好求知的；奇妙的； 稀奇的
holiday	 [ˈhɒlədeɪ]	n. 	假日，休息日；节日
		vi. 	度假，休假
rising	 [ˈraɪzɪŋ]	adj. 	上升的；升起的；增大的；成长中的
		adv. 	（年龄）接近，（数量）多于
		n. 	隆起；起义；叛乱
		v. 	起义( rise的现在分词 )；升起；（数量）增加；休会
silent	 [ˈsaɪlənt]	adj. 	沉默的，无言的；寂静的，无声的；静止的；[语]不发音的
		n. 	无声电影
conversation	 [ˌkɒnvəˈseɪʃn]	n. 	交谈，会话；交往，交际；会谈；（人与计算机的）人机对话
Speaking	 ['spi:kɪŋ]	n. 	说话；讲话；谈话；演讲
		adj. 	演讲的；富于表情的；（肖像）栩栩如生的；雄辩的
		v. 	讲，谈(speak的现在分词 )
proud	 [praʊd]	adj. 	自豪的，得意的；光荣的，高尚的；傲慢的；有自尊心的
wander	 [ˈwɒndə(r)]	vt. 	漫步，漫游
		vi. 	游荡，漫游，闲逛，慢走，漫步；离开原路，离群，失散；（道路或河流）蜿蜒曲折；（人的思想等）走神，胡思乱想
		n. 	游荡；溜达；闲逛；失散
agencies		n. 	代理( agency的名词复数 )；服务机构；（政府的）专门机构；代理（或经销）业务（或关系）
chain	 [tʃeɪn]	n. 	链子，链条；连锁，连续；拘束；连锁店或旅馆系列的事物
		vt. 	用铁链锁住；监禁，束缚
December	 [dɪˈsembə(r)]	n. 	12月
soul	 [səʊl]	n. 	灵魂；精神；幽灵；人
		adj. 	美国黑人文化的
ticket	 [ˈtɪkɪt]	n. 	票，入场券；标签；传票，交通违规的通知单；候选人名单
		vt. 	售票；给…门票；加标签于，指派；对。。开交通违章通知单
equally	 [ˈi:kwəli]	adv. 	相等地；平等地；公正地；平均
pretend	 [prɪˈtend]	vt. 	假装，伪装；假称；装扮
		vi. 	扮演；自称；假装，矫作
		adj. 	仿制的
dismiss	 [dɪsˈmɪs]	vt. 	解雇，把…免职；遣散，解散（队伍等）；驳回，拒绝受理；搁置
		vi. 	解散
SETS		n. 	Synchronous Equipment Timing Source同步设备定时源
coat	 [kəʊt]	n. 	上衣，外套
		vt. 	给…穿上上衣[外套]；盖上
drove	 [drəʊv]	n. 	移动的人群或大批东西
		v. 	驾车快于，驾车技术胜过( outdrive的过去式 )
screen	 [skri:n]	n. 	屏幕；银幕；屏风
		vt. 	筛（煤、矿石等）；拍摄；放映（电影）；庇护
arrived	 [a'raɪvd]	v. 	到达，来( arrive的过去式和过去分词 )；发生
tend	 [tend]	vt. 	照料，照顾；护理；照管，管理
		vi. 	倾向（于），趋向（于）；伺侯，招待；关心；注意
reply	 [rɪˈplaɪ]	n. 	回答，答复；反应；报复（行动）；[法律]答辩
		vi. 	[法律]（原告对被告）答辩；反响；作答；（以行动）做出反应
		vt. 	回应，作出反应
process	 [ˈprəʊses]	n. 	过程；工序；做事方法；工艺流程
		vt. 	加工；处理；审阅；审核
		vi. 	列队行进
		adj. 	经过特殊加工（或处理）的
assignment	 [əˈsaɪnmənt]	n. 	分给，分配；任务，工作，（课外）作业；任命；指定，委派
thread	 [θred]	n. 	线；线索；线状物；螺纹
		vt. 	穿成串；将（针、线等）穿过…；用…线缝；给…装入（胶片、狭带、绳子）
greatly	 [ˈgreɪtli]	adv. 	大大地，非常
haste	 [heɪst]	n. 	匆忙，急忙；急速，紧迫；轻率
		v. 	赶紧，匆忙；使快，催促
bargain	 [ˈbɑ:gən]	n. 	契约，协定；交易；特价商品；便宜货
		vt. 	做交易
		vi. 	讨价还价；达成协议
flesh	 [fleʃ]	n. 	肉；肉体；果肉；皮肤
		v. 	用肉喂养；长胖
